"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 16 07:02:28 UTC 2024","Tue Apr 16 07:02:34 UTC 2024","5937","","CR: [FNN-751] Invite to the organization manually Negative","","CR: [FNN-751] Invite to the organization manually Negative","should invite manually via email with wrong email format","should invite manually via email with wrong email format",""
"skipped","Tue Apr 16 07:28:56 UTC 2024","Tue Apr 16 07:28:56 UTC 2024","1","","My Transactions: [FNN-708] Hourly project: In advance. Positive","","My Transactions: [FNN-708] Hourly project: In advance. Positive","should verify that the period is closed","should verify that the period is closed",""
"passed","Tue Apr 16 06:14:31 UTC 2024","Tue Apr 16 06:17:27 UTC 2024","175848","","My Profile: [FNN-669] Edit account details Positive","","My Profile: [FNN-669] Edit account details Positive","should edit employer account details with valid information","should edit employer account details with valid information",""
"passed","Tue Apr 16 06:11:24 UTC 2024","Tue Apr 16 06:11:36 UTC 2024","11369","","Subscribe: [FNN-577] Subscribe Negative","","Subscribe: [FNN-577] Subscribe Negative","should subscribe without phone number","should subscribe without phone number",""
"passed","Tue Apr 16 06:33:18 UTC 2024","Tue Apr 16 06:33:23 UTC 2024","4653","","Search Project: [FNN-568] Project search","","Search Project: [FNN-568] Project search","should filter projects by Status All projects","should filter projects by Status All projects",""
"passed","Tue Apr 16 07:15:37 UTC 2024","Tue Apr 16 07:16:32 UTC 2024","54439","","Freelancer search: [FNN-815] Freelancer search as non-CR user","","Freelancer search: [FNN-815] Freelancer search as non-CR user","should filter freelancers by Skills","should filter freelancers by Skills",""
"passed","Tue Apr 16 06:27:02 UTC 2024","Tue Apr 16 06:27:48 UTC 2024","46458","","Settings: [FNN-672] Change email address Negative","","Settings: [FNN-672] Change email address Negative","should change email address with wrong password","should change email address with wrong password",""
"skipped","Tue Apr 16 06:44:37 UTC 2024","Tue Apr 16 06:47:09 UTC 2024","151738","","[FNN-667] Send contact","","[FNN-667] Send contact","should send a contact","should send a contact",""
"passed","Tue Apr 16 07:06:56 UTC 2024","Tue Apr 16 07:06:59 UTC 2024","3123","","My Profile: [FNN-719] Add resume Negative","","My Profile: [FNN-719] Add resume Negative","should add certificate without data","should add certificate without data",""
"passed","Tue Apr 16 06:08:25 UTC 2024","Tue Apr 16 06:08:56 UTC 2024","30764","","Login: [FNN-563] Log in from the header Negative","","Login: [FNN-563] Log in from the header Negative","should log in without credentials","should log in without credentials",""
"passed","Tue Apr 16 07:11:18 UTC 2024","Tue Apr 16 07:11:39 UTC 2024","20616","","Post Project: [FNN-588] Post project without account Negative","","Post Project: [FNN-588] Post project without account Negative","should post project without repeat password","should post project without repeat password",""
"passed","Tue Apr 16 06:11:48 UTC 2024","Tue Apr 16 06:12:04 UTC 2024","16038","","Subscribe: [FNN-577] Subscribe Negative","","Subscribe: [FNN-577] Subscribe Negative","should subscribe with taken phone number","should subscribe with taken phone number",""
"passed","Tue Apr 16 07:08:11 UTC 2024","Tue Apr 16 07:08:22 UTC 2024","11110","","My Profile: [FNN-730] Request reference Negative","","My Profile: [FNN-730] Request reference Negative","should pass step 3 without 3 rating","should pass step 3 without 3 rating",""
"failed","Tue Apr 16 07:04:52 UTC 2024","Tue Apr 16 07:05:23 UTC 2024","31351","","My Profile: [FNN-668] Edit account details Negative","","My Profile: [FNN-668] Edit account details Negative","should edit account details with invalid Twitter, LinkedIn and Website urls","should edit account details with invalid Twitter, LinkedIn and Website urls",""
"passed","Tue Apr 16 06:56:51 UTC 2024","Tue Apr 16 07:02:22 UTC 2024","330601","","My Transactions: [FNN-738] Milestones project: Add milestone. Negative","","My Transactions: [FNN-738] Milestones project: Add milestone. Negative","should add milestone without Amount, Delivery date, and Description","should add milestone without Amount, Delivery date, and Description",""
"broken","Tue Apr 16 07:18:41 UTC 2024","Tue Apr 16 07:21:21 UTC 2024","159294","","[FNN-743] Archive and restore message","","[FNN-743] Archive and restore message","""before all"" hook for [FNN-743] Archive and restore message","""before all"" hook for [FNN-743] Archive and restore message",""
"failed","Tue Apr 16 07:27:51 UTC 2024","Tue Apr 16 07:29:37 UTC 2024","106517","","My Transactions: [FNN-737] Hourly project: Start project. Negative","","My Transactions: [FNN-737] Hourly project: Start project. Negative","""before all"" hook for [FNN-737] Hourly project: Start project. Negative","""before all"" hook for [FNN-737] Hourly project: Start project. Negative",""
